#Dataset size|Time|Standard error
0.0743901	7.02204	0.159342	
0.149791	7.37275	0.130525	
0.236393	7.55311	0.0868358	
0.303411	8.12826	0.172751	
0.591249	8.92184	0.143195	
0.887366	9.72545	0.123011	
1.18019	10.6293	0.204914	
1.79399	10.8657	0.104412	
2.09939	12.018	0.231358	
4.80957 13.968  2.34676


#Dataset size|Time|Standard error|boost r-tree
#1180.19	1240.65	310.25	
0.0743901	49.7255	0.747274	
0.149791	49.6032	0.824853	
0.236393	51.485	0.780557	
0.303411	53.6693	0.890949	
0.591249	63.8998	7.25866	
0.887366	57.8257	0.907603	
1.18019	78.1082	6.08544
1.79399	62.7495	1.00674	
2.09939	64.0922	1.05487	
4.80957	462.403	72.2101	


#Dataset size|Time|Standard error #octree
0.0743901	464.709	9.86463	
0.149791	477.106	9.70101	
0.236393	473.866	10.3751	
0.303411	493.936	10.2164	
0.591249	486.427	9.63928	
0.887366	465.371	9.91317	
1.18019	477.391	9.80289	
1.79399	471.601	10.9046	
2.09939	484.651	10.0772	
4.80957	1140.36	24.4525	


#Dataset size|Time|Standard error kd-tree
0.0743901	1.31062	0.052697	
0.149791	1.32265	0.0298999	
0.236393	2.01804	0.076256	
0.303411	1.50701	0.0293364	
0.591249	1.66132	0.0511105	
0.887366	1.81563	0.0754157	
1.18019	2.23046	0.22405	
1.79399	2.26653	0.111925	
2.09939	2.34469	0.0914526	
4.80957	2.93387	0.234711	


#Dataset size|Time|Standard error - 3D-Grid
0.0743901 1.34669 0.071318        
0.149791 2.54509 0.119715        
0.236393 3.76553 0.141018        
0.303411 4.43487 0.209519        
0.591249 8.60521 0.340053        
0.887366 13.4549 0.569842        
1.18019 18.99   0.770079        
1.79399 35.1443 2.88429 
2.09939 29.9679 1.26522 
4.80957	47.6874	21.4604	 #26.46
#:4.80957	192.661	64.3724	
