#index size	Mesaured
11178	70.81767758
12006	70.85623855
17058	75.58916637
18349	73.16475012
23759	79.43095248
29422	76.00095167
31873	77.77115427
38592	76.20491294
41485	83.93154152
43737	82.55252989
46175	80.98754737
47659	84.13521056
54446	82.97211916
59812	83.94469337
60992	83.37486884
65277	86.17430335
72064	88.74056394
74907	81.59851549
79346	88.07501323
87924	92.12615441
89468	86.91487459
97795	86.0596145
101768	89.60576999
106019	89.03404107
118234	93.56276536
120830	89.27998014
133605	87.5034617
172515	92.53050459
178227	88.33678399


#index size	Predicted
11178	70.5498204
12006	71.59154848
17058	73.74874403
18349	74.82441981
23759	76.79375429
29422	77.87442343
31873	79.03298358
38592	80.49089977
41485	81.04184654
43737	81.44474697
46175	81.85817742
47659	82.09927333
54446	83.11400599
59812	83.83041922
60992	83.97931914
65277	84.49680779
72064	85.25070388
74907	85.54560698
79346	85.9843916
87924	86.76679204
89468	86.89947165
97795	87.5777423
101768	87.8812543
106019	88.1931528
118234	89.02427565
120830	89.18980977
133605	89.9558108
172515	91.90388216
178227	92.15214903
