#radius,	cell accesses (average)
0	1
0.0025	3.548
0.005	7.242
0.0075	12.652
0.01	19.398
0.0125	27.492
0.015	36.958
0.0175	48.018
0.02	60.534
0.0225	74.326
0.025	89.442
0.0275	106.188
0.03	123.848
0.0325	143.486
0.035	163.74
0.0375	184.518
0.04	207.642
0.0425	231.894
0.045	256.264
0.0475	282.256
0.05	307.628


#radius,	cell accesses predicted  
0	1
0.0025	4
0.005	8
0.0075	13
0.01	20
0.0125	28
0.015	38
0.0175	49
0.02	61
0.0225	75
0.025	90
0.0275	107
0.03	125
0.0325	145
0.035	166
0.0375	188
0.04	212
0.0425	237
0.045	264
0.0475	292
0.05	322
